"GSR","BP","Pain"
35.2271,-0.7679,-0.5071
36.2365,0.8282,-0.5087
36.0184,0.5643,-0.5089
35.3897,-2.4185,-0.509
34.9417,-1.2323,-0.5046
34.5751,4.0095,-0.5116
34.3444,-1.4601,-0.5087
34.2341,-0.4552,-0.5106
34.0515,0.213,-0.5084
33.8101,1.4725,-0.5094
33.6911,-0.9617,-0.5124
33.6234,-0.3807,-0.5136
33.494,-0.6916,-0.513
33.2746,2.7705,-0.5116
33.0976,2.0296,-0.5124
32.9558,-1.4126,-0.5112
32.8203,1.0368,-0.5133
32.7068,-1.3196,-0.513
32.5999,-2.0072,-0.5116
