"Time","GSR","BP","VAS"
503,16.8348,-3.31,-0.0272
504,16.7073,-1.7765,-0.0253
505,16.3931,-0.0625,-0.027
506,16.1938,2.6115,0.06
507,16.4032,-3.2205,-0.1893
508,16.5161,1.5212,-0.4348
509,16.8754,1.8755,-0.4471
510,16.8447,1.1764,-0.4516
511,17.2836,-2.1932,-0.4504
512,17.4811,0.3371,-0.4514
513,17.0807,0.8583,-0.4527
514,16.8946,-3.3067,-0.4517
515,17.0556,0.5771,-0.4527
516,16.8432,-3.3255,-0.4539
517,17.0365,0.0385,-0.4527
518,17.2984,-0.1167,-0.4493
519,16.9409,1.1724,-0.4524
520,16.899,2.2128,-0.4527
521,17.2893,0.678,-0.4505
522,17.4162,1.0929,-0.4487
523,17.0581,-4.294,-0.4484
524,17.1736,2.7464,-0.4492
525,17.216,-0.5212,-0.4482
526,16.9746,1.922,-0.4472
527,16.9091,3.2162,-0.4467
528,17.2355,-3.2355,-0.4468
529,17.003,0.638,-0.4505
530,16.6777,1.5841,-0.4497
531,16.5066,-1.2368,-0.4491
532,16.5074,2.4001,-0.4515
533,16.7301,-5.2801,-0.4523
534,16.7394,3.0418,-0.4489
535,17.0426,-3.7598,-0.4438
536,17.4009,4.3362,-0.4488
537,17.2775,-2.4821,-0.4497
538,16.8796,4.1083,-0.4484
539,16.8999,-3.0219,-0.449
540,17.0628,3.1026,-0.4492
541,17.496,4.3508,-0.4482
542,17.6563,-3.7786,-0.4504
543,17.3414,1.994,-0.4498
544,17.2256,-0.2451,-0.4508
545,17.4793,-6.1084,-0.4492
546,18.3458,-1.2502,-0.4479
547,18.0241,-0.3375,-0.4499
548,17.6813,-1.9188,-0.4489
549,18.254,1.2177,-0.4448
550,17.9246,-2.5732,-0.4469
551,17.6915,2.8383,-0.4485
552,18.2208,-1.1124,-0.4481
553,18.0651,2.793,-0.4523
554,18.0208,3.7783,-0.4503
555,17.7207,-1.8843,-0.451
556,17.9187,1.7428,-0.4524
557,18.0112,-3.1026,-0.4512
558,17.961,-2.5106,-0.4515
559,18.0592,1.4374,-0.4482
560,17.7636,-3.1537,-0.4501
561,17.8476,2.8884,-0.4459
562,17.8428,1.8239,-0.4491
563,17.5922,0.8845,-0.4467
564,17.486,-3.1921,-0.451
565,17.4479,-2.2826,-0.4486
566,17.8367,3.6053,-0.452
567,18.2207,-2.2693,-0.4501
568,17.9416,3.6004,-0.4544
569,17.5534,3.6333,-0.4528
570,17.5231,-1.6341,-0.4484
571,17.5569,1.8834,-0.45
572,18.0947,3.0701,-0.4488
573,18.4653,-4.4289,-0.4499
574,18.2793,-3.3647,-0.4523
575,17.9084,-1.1694,-0.4508
576,18.1502,3.9499,-0.4522
577,18.1325,-1.9529,-0.4522
578,17.9159,5.4408,-0.4495
579,17.6736,-2.0105,-0.447
580,17.4679,2.8949,-0.4484
581,17.4608,-3.3566,-0.4513
582,18.516,4.0813,-0.448
583,18.7398,-4.3943,-0.4479
584,18.1409,4.4411,-0.4486
585,17.8957,-4.1002,-0.4508
586,18.4152,3.9017,-0.4482
587,18.2646,-3.6984,-0.4524
588,18.8818,5.2484,-0.4497
589,19.0252,-4.2751,-0.4522
590,18.4552,4.881,-0.4511
591,18.1922,-3.836,-0.4474
592,17.9048,5.2001,-0.4524
593,17.7951,-4.1688,-0.447
594,17.7483,4.3091,-0.4478
595,18.2618,-3.4618,-0.4476
596,19.0213,4.5723,-0.4457
597,19.3804,0.8174,-0.4468
598,18.9629,-0.6525,-0.4455
599,18.3243,4.4504,-0.4446
600,18.3412,-6.5288,-0.4436
601,19.2152,3.8229,-0.4436
602,19.1359,-5.2088,-0.4478
603,18.7211,5.1037,-0.4466
604,18.3581,-1.4648,-0.4458
605,18.8383,1.0886,-0.4468
606,19.3384,-4.2622,-0.4491
607,19.2698,5.4112,-0.4453
608,19.0516,-5.0515,-0.448
609,18.9813,5.9536,-0.4421
610,19.68,-5.1287,-0.4466
611,19.5067,0.6676,-0.4448
612,19.3632,-5.6106,-0.4468
613,19.1376,1.3231,-0.4447
614,19.0227,2.171,-0.4454
615,18.9277,-3.8915,-0.4485
616,18.953,2.2264,-0.4453
617,19.5561,-1.798,-0.4474
618,19.6865,1.7693,-0.4476
619,19.5874,-2.0895,-0.4481
620,19.5161,2.5503,-0.4458
621,19.8191,-4.1896,-0.4471
622,19.5013,3.7623,-0.4444
623,19.3149,4.2008,-0.4466
624,19.5177,-4.0213,-0.4455
625,19.4159,-0.399,-0.4439
626,19.507,1.4999,-0.4469
627,19.1138,-2.0252,-0.4428
628,19.1289,2.4015,-0.4451
629,19.2897,0.8662,-0.4399
630,19.1393,-0.2788,-0.4446
631,19.2159,5.3454,-0.4416
632,20.0919,-6.411,-0.4464
633,20.1325,1.8093,-0.4426
634,19.6438,-3.1686,-0.4442
635,19.1612,-1.5016,-0.4441
636,19.7469,2.3217,-0.4461
637,20.4409,-2.3445,-0.4448
638,20.5069,-3.5226,-0.445
639,19.7838,2.566,-0.4435
640,19.2039,-0.5521,-0.4448
641,18.9629,5.8074,-0.4435
642,18.9131,-1.864,-0.4456
643,18.8589,4.3818,-0.4437
644,19.2939,-3.6882,-0.4468
645,19.7914,3.7411,-0.4446
646,20.2616,-3.3977,-0.4432
647,20.7966,1.8078,-0.4392
648,20.3208,-3.6826,-0.445
649,19.5469,3.7633,-0.4434
650,19.1979,-0.019,-0.4467
651,19.1273,3.2574,-0.4477
652,19.4767,1.8425,-0.4463
653,19.5934,-1.0953,-0.4436
654,19.7323,5.145,-0.4466
655,20.1066,-4.696,-0.4468
656,19.8978,3.7426,-0.4471
657,19.6516,-3.1004,-0.4464
658,20.2134,4.0245,-0.4485
659,20.0324,-3.6606,-0.4454
