Participant,Age,Gender,Course,Occcupation,Prime,LOTR1,LOTR3,LOTR4,LOTR7,LOTR9,LOTR10,MAAS1,MAAS2,MAAS3,MAAS4,MAAS5,MAAS6,MAAS7,MAAS8,MAAS9,MAAS10,MAAS11,MAAS12,MAAS13,MAAS14,MAAS15,Pill1,Pill2,Pill3,Cream1,Cream2,Cream3,Inj1,Inj2,Inj3,Acu1,Acu2,Acu3,Hom1,Hom2,Hom3,Reiki1,Reiki2,Reiki3
6955,18,female,applied psychology,student,,2,3,4,3,4,3,4,4,2,5,6,2,3,5,4,5,3,6,4,3,2,4,4,3,3,3,3,4,4,4,2,3,3,3,3,3,2,2,2
4062,20,male,arts  ,student,,2,3,5,2,5,4,5,3,4,2,1,5,4,5,5,3,3,6,2,3,2,5,5,5,2,3,2,5,5,5,2,2,2,2,3,2,1,1,1
4662,18,male,applied psychology,student,,4,4,2,4,3,4,5,3,4,2,6,2,4,4,5,4,3,6,5,3,3,4,4,4,4,4,3,5,5,5,2,2,2,1,1,1,2,2,1
4892,19,male,applied psychology,student,,4,3,5,3,4,5,4,5,5,2,4,3,3,5,2,2,4,4,3,3,6,4,5,4,2,2,2,5,5,5,2,1,2,2,1,1,1,1,1
3190,19,female,applied psychology,student,,2,3,4,4,3,4,2,4,4,3,3,3,5,5,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4,2,2,3,2,2,3
1004,25,female,arts  ,student,,4,4,4,5,5,5,3,3,4,3,5,1,3,5,3,4,4,5,2,3,5,4,5,5,3,3,3,4,5,4,3,3,3,3,3,3,2,2,2
1234,19,female,applied psychology,student,,2,5,4,5,5,5,6,6,5,3,5,5,5,5,5,6,5,6,6,4,6,3,3,3,2,2,2,4,4,3,3,3,4,2,1,2,2,1,2
234,20,female,social science,student,,4,3,3,4,3,4,4,2,3,6,6,3,6,3,5,5,5,6,3,3,3,4,4,4,3,3,2,4,4,4,2,2,2,3,3,3,3,3,3
5533,26,male,computor science,web developer,,5,4,5,5,5,5,6,5,4,5,5,4,5,5,4,4,5,6,2,6,6,3,4,4,3,4,4,4,4,4,4,5,5,2,2,2,1,1,1
1956,20,female,arts  ,student,,5,4,5,5,5,5,2,4,5,6,2,2,6,5,6,5,3,4,5,5,3,4,5,4,4,4,4,5,4,3,5,5,4,5,5,5,4,4,4
7837,21,female,biochemistry,student,,4,4,4,5,5,4,3,3,3,2,4,3,4,4,4,4,5,3,2,4,4,4,4,4,3,2,2,5,4,4,1,1,1,1,1,1,1,1,1
9782,22,male,maths,student,,4,4,4,4,3,3,3,4,4,4,3,2,4,4,5,4,3,5,3,4,6,3,3,2,3,3,3,4,4,3,2,2,2,1,1,1,2,2,2
5669,21,female,chemistry,student,,4,3,4,4,4,5,3,2,3,3,3,4,4,3,4,3,4,2,6,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2385,18,female,applied psychology,student,,4,4,4,4,4,4,5,4,5,3,4,6,5,6,5,4,5,4,4,4,4,4,2,4,2,2,2,4,3,4,3,2,3,3,3,3,2,2,2
4391,20,female,psychology,student,,2,3,5,2,2,2,3,5,4,1,2,1,1,2,2,2,1,5,1,3,3,3,4,2,2,2,1,3,3,2,3,4,2,5,3,4,5,3,4
7983,24,female,psychology,student,,2,3,2,3,2,3,5,3,3,2,4,3,3,3,6,4,6,2,2,3,5,4,4,4,3,3,3,5,5,5,2,2,2,2,2,2,2,2,2
1843,20,male,finance,student,,4,4,4,4,4,4,5,6,5,5,6,4,6,5,5,5,5,6,5,6,6,3,4,2,3,4,2,4,3,2,4,3,2,1,1,1,1,1,1
4278,25,female,applied psychology,student,,2,3,3,3,4,3,5,3,4,4,2,3,3,3,4,2,5,4,3,3,5,4,4,3,2,2,2,4,4,3,4,4,3,2,2,2,4,4,4
1717,31,male,law,student,,5,3,5,4,5,5,4,3,3,4,3,4,4,4,4,3,3,5,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,3,3
1604,28,male,applied psychology,student,,3,4,4,4,4,4,3,6,5,5,5,2,5,6,5,5,4,6,4,5,6,4,4,4,4,4,4,4,4,4,3,2,2,1,1,1,1,1,1
473,38,female,applied psychology,student,,5,5,5,5,5,5,5,6,5,6,6,3,5,5,6,5,5,6,5,5,6,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2
6536,25,male,psychology,student,,4,5,5,5,5,5,5,5,3,6,5,3,5,5,4,6,3,3,4,4,5,4,4,4,4,4,4,5,5,5,2,2,3,2,1,1,3,3,2
9548,21,male,zoology,student,,3,4,4,3,2,4,3,5,5,4,4,2,3,3,4,3,5,6,4,2,3,4,4,3,3,3,3,4,2,2,2,2,2,1,1,1,1,1,2
3725,22,male,social science,student,,3,4,5,5,4,4,3,3,3,2,4,1,3,4,3,3,3,3,2,3,6,3,2,4,4,2,4,4,2,4,3,3,3,5,5,5,1,1,2
7521,25,male,commerse,student,,2,4,4,3,4,5,3,5,3,2,4,3,2,3,6,4,3,6,3,2,6,4,4,5,3,4,5,5,4,5,3,4,5,2,4,4,4,3,5
2983,20,male,biological science,student,,4,4,3,4,4,4,6,5,5,5,6,4,6,5,5,4,5,6,3,5,5,4,4,4,4,3,3,4,4,4,1,1,1,1,1,1,1,1,1
2712,20,male,medicine,student,,2,3,2,5,3,5,4,6,4,2,4,1,4,3,5,2,5,6,3,3,6,3,2,2,2,2,2,4,3,3,3,2,3,3,2,3,2,1,1
3687,30,male,arts  ,student,,4,4,5,4,4,4,4,5,5,6,5,4,5,4,5,5,5,5,4,5,6,4,3,3,4,3,3,4,3,3,5,4,4,4,4,4,4,3,3
7706,27,female,biology,student,,4,3,3,4,2,4,5,6,5,4,4,4,4,4,3,3,3,5,3,3,4,2,3,3,2,3,3,3,3,3,2,3,3,1,2,2,2,3,3
